iter	Passed	Remaining
0	1	142
1	2	143
2	4	143
3	5	130
4	6	127
5	7	124
6	9	125
7	11	127
8	12	124
9	13	122
10	15	121
11	16	120
12	18	122
13	19	121
14	20	118
15	22	115
16	23	114
17	24	112
18	26	111
19	27	110
20	29	109
21	30	106
22	31	105
23	32	103
24	34	102
25	35	101
26	36	99
27	37	97
28	39	96
29	40	94
30	41	93
31	43	91
32	44	90
33	45	89
34	47	88
35	48	86
36	49	84
37	51	83
38	52	81
39	53	80
40	54	78
41	55	76
42	57	76
43	59	75
44	60	73
45	62	73
46	64	72
47	65	70
48	67	69
49	68	68
50	69	67
51	71	65
52	72	64
53	78	66
54	79	65
55	81	63
56	82	62
57	84	60
58	88	61
59	89	59
60	90	58
61	92	56
62	93	54
63	93	52
64	94	50
65	95	49
66	96	47
67	97	45
68	98	44
69	100	43
70	101	41
71	102	39
72	103	38
73	104	36
74	105	35
75	107	33
76	108	32
77	109	30
78	109	29
79	110	27
80	111	26
81	112	24
82	113	23
83	114	21
84	115	20
85	116	18
86	117	17
87	118	16
88	119	14
89	120	13
90	121	12
91	123	10
92	124	9
93	125	8
94	127	6
95	128	5
96	129	3
97	129	2
98	130	1
99	132	0
